Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,2,14.68,24.78,3648,17.33,14.99,141,,,
m,2,15.83,28.17,4042,19.75,17.01,170,,,
m,2,14.57,24.94,4387,18.29,15.48,132,,,
m,2,11.34,98.78,42932,13.08,12.33,274,,,
m,2,18.73,30.88,4155,22.65,20.50,204,,,
m,2,17.08,24.80,2811,20.54,16.97,155,,,
m,2,24.63,42.49,4464,31.90,30.05,210,,,
m,2,18.51,27.73,3027,22.07,18.26,156,,,
m,2,8.26,16.45,2173,8.95,8.10,105,,,
m,2,19.10,28.26,2279,23.34,19.48,168,,,
m,2,9.87,17.38,3036,11.62,10.11,92,,,
m,2,16.28,28.78,3617,21.01,18.85,170,,,
m,2,19.66,47.01,9086,24.49,21.90,186,,,
m,2,13.01,29.34,6326,15.66,14.20,138,,,
m,2,17.08,25.30,2897,20.54,17.45,162,,,
m,2,20.16,32.39,3728,24.44,22.37,171,,,
m,2,25.39,47.27,4593,33.88,32.99,260,,,
m,2,17.91,28.37,3633,21.67,18.98,185,,,
m,2,22.93,37.17,5556,29.81,26.29,200,,,
m,2,19.33,74.94,28134,24.32,23.12,274,,,
m,2,20.57,33.83,2778,25.78,23.21,173,,,
m,2,12.46,22.62,3008,14.02,11.03,119,,,
m,2,17.14,24.65,2926,20.53,17.01,143,,,
m,2,21.01,43.72,7175,27.39,25.26,228,,,
m,2,17.26,72.62,26363,21.04,19.28,298,,,
m,2,17.92,30.30,4234,21.95,18.35,155,,,
m,2,14.61,28.47,6078,16.31,17.20,164,,,
m,2,17.13,27.73,3870,20.52,17.50,199,,,
m,2,28.38,71.09,10527,39.37,33.54,285,,,
m,2,22.66,44.08,5722,29.31,24.37,232,,,included
m,2,15.79,32.24,4972,18.15,16.29,201,,,
m,2,22.91,38.77,7757,27.91,26.12,248,,,
m,2,14.26,22.50,3770,16.42,13.63,143,,,
m,2,19.49,31.97,3786,24.14,21.19,170,,,
m,2,20.76,33.45,4458,25.91,22.86,191,,,
m,2,13.31,27.04,5599,16.77,14.98,140,,,
m,2,17.64,32.11,4479,22.55,20.88,158,,,
m,2,11.88,42.31,9765,11.61,14.14,248,,,
m,2,26.66,68.28,9052,35.41,32.58,334,,,
m,2,22.25,42.55,5432,27.62,25.25,231,,,
m,2,19.63,33.64,4687,23.93,21.82,239,,,
m,2,25.75,64.91,8367,33.28,29.23,321,,,
m,2,11.06,21.41,3038,12.59,12.34,108,,,
m,2,19.55,31.04,3552,22.87,18.25,172,,,
m,2,20.90,34.81,3984,25.19,22.17,220,,,
m,2,10.35,21.72,5084,12.44,12.74,129,,,
m,2,18.69,35.79,4754,22.85,22.61,203,,,
m,2,13.38,25.24,3504,16.21,14.75,119,,,
m,2,11.22,21.02,2896,13.03,12.60,103,,,
m,2,14.27,80.96,40683,19.08,21.60,270,,,
m,2,12.86,88.00,42966,16.81,17.83,286,,,
m,2,23.58,46.61,5685,30.07,28.58,247,,,
m,2,22.87,39.51,4463,29.00,26.36,278,,,
m,2,24.20,43.33,5414,30.49,28.48,233,,,
m,2,23.35,41.51,4927,29.58,27.75,213,,,
m,2,20.47,107.07,44200,26.28,25.43,388,,,
m,2,12.04,109.54,42484,12.66,13.08,281,,,
