Pop,Longitude,Latitude,Pop,Longitude,Latitude,Distance,Fst,Group
ES-Ast,-6.5,43.17,SE-Nass,14.6974,57.6521,1357.286409,0.593822,N
SE-Nass,14.6974,57.6521,ES-Ast,-6.5,43.17,1357.286409,0.593822,N
PL-Swie,20.926346,50.895887,RS,20.4076,44.7317,426.6718994,0.59,SN
FR-Ver,5.5301,43.5986,SE-Nass,14.6974,57.6521,1048.875485,0.568998,N
SE-Nass,14.6974,57.6521,FR-Ver,5.5301,43.5986,1048.875485,0.568998,N
DE-Bad,11.9383,52.9546,ES-Ast,-6.5,43.17,1081.976664,0.537062,N
ES-Ast,-6.5,43.17,DE-Bad,11.9383,52.9546,1081.976664,0.537062,N
DE-Bad,11.9383,52.9546,FR-Ver,5.5301,43.5986,709.8991589,0.517931,N
FR-Ver,5.5301,43.5986,DE-Bad,11.9383,52.9546,709.8991589,0.517931,N
ES-Ast,-6.5,43.17,PL-Sier,17.474509,54.09711,1319.697274,0.516065,NS
PL-Sier,17.474509,54.09711,ES-Ast,-6.5,43.17,1319.697274,0.516065,NS
ES-Ast,-6.5,43.17,RU-Tall,24.7536,59.437,1729.194657,0.511159,N
RU-Tall,24.7536,59.437,ES-Ast,-6.5,43.17,1729.194657,0.511159,N
ES-Ast,-6.5,43.17,RU-Vol,44.4525,48.681,2432.285872,0.507345,N
RU-Vol,44.4525,48.681,ES-Ast,-6.5,43.17,2432.285872,0.507345,N
ES-Ast,-6.5,43.17,FR-Ser,2.3373,45.3602,462.5083765,0.500769,N
FR-Ser,2.3373,45.3602,ES-Ast,-6.5,43.17,462.5083765,0.500769,N
ES-Ast,-6.5,43.17,PL-Dzie,14.99795,52.731386,1187.254543,0.499285,NS
PL-Dzie,14.99795,52.731386,ES-Ast,-6.5,43.17,1187.254543,0.499285,NS
FR-Ver,5.5301,43.5986,RU-Tall,24.7536,59.437,1361.0508,0.495752,N
RU-Tall,24.7536,59.437,FR-Ver,5.5301,43.5986,1361.0508,0.495752,N
ES-Ast,-6.5,43.17,GR-Mac,22.4511,40.9469,1485.943985,0.495432,N
GR-Mac,22.4511,40.9469,ES-Ast,-6.5,43.17,1485.943985,0.495432,N
FR-Ver,5.5301,43.5986,PL-Sier,17.474509,54.09711,903.7597567,0.495124,NS
PL-Sier,17.474509,54.09711,FR-Ver,5.5301,43.5986,903.7597567,0.495124,NS
ES-Ast,-6.5,43.17,PL-Ryj,18.945785,53.853784,1367.725582,0.493791,NS
PL-Ryj,18.945785,53.853784,ES-Ast,-6.5,43.17,1367.725582,0.493791,NS
FR-Ver,5.5301,43.5986,RU-Vol,44.4525,48.681,1875.383938,0.489531,N
RU-Vol,44.4525,48.681,FR-Ver,5.5301,43.5986,1875.383938,0.489531,N
ES-Ast,-6.5,43.17,GR-Vern,20.7643,39.5706,1429.135176,0.488467,N
GR-Vern,20.7643,39.5706,ES-Ast,-6.5,43.17,1429.135176,0.488467,N
ES-Ast,-6.5,43.17,RO-Mar,22.5417,45.3986,1437.13162,0.485705,N
RO-Mar,22.5417,45.3986,ES-Ast,-6.5,43.17,1437.13162,0.485705,N
FR-Ser,2.3373,45.3602,FR-Ver,5.5301,43.5986,198.9855853,0.48257,N
FR-Ver,5.5301,43.5986,FR-Ser,2.3373,45.3602,198.9855853,0.48257,N
ES-Ast,-6.5,43.17,PL-Ostr,19.958726,53.741945,1403.398473,0.480177,NS
PL-Ostr,19.958726,53.741945,ES-Ast,-6.5,43.17,1403.398473,0.480177,NS
FR-Ver,5.5301,43.5986,GR-Mac,22.4511,40.9469,882.8138508,0.479338,N
GR-Mac,22.4511,40.9469,FR-Ver,5.5301,43.5986,882.8138508,0.479338,N
FR-Ver,5.5301,43.5986,PL-Ryj,18.945785,53.853784,932.9852611,0.477882,NS
PL-Ryj,18.945785,53.853784,FR-Ver,5.5301,43.5986,932.9852611,0.477882,NS
IT-Cal,15.65,38.1144,SE-Nass,14.6974,57.6521,1350.901956,0.475781,N
SE-Nass,14.6974,57.6521,IT-Cal,15.65,38.1144,1350.901956,0.475781,N
FR-Ver,5.5301,43.5986,PL-Dzie,14.99795,52.731386,765.9309805,0.47544,NS
PL-Dzie,14.99795,52.731386,FR-Ver,5.5301,43.5986,765.9309805,0.47544,NS
ES-Ast,-6.5,43.17,RU-Vor,39.2089,51.6755,2177.551871,0.472569,N
RU-Vor,39.2089,51.6755,ES-Ast,-6.5,43.17,2177.551871,0.472569,N
FR-Ver,5.5301,43.5986,RO-Mar,22.5417,45.3986,846.0861949,0.468975,N
RO-Mar,22.5417,45.3986,FR-Ver,5.5301,43.5986,846.0861949,0.468975,N
FR-Ver,5.5301,43.5986,GR-Vern,20.7643,39.5706,833.7455401,0.468636,N
GR-Vern,20.7643,39.5706,FR-Ver,5.5301,43.5986,833.7455401,0.468636,N
EN-Kent,0.4527,51.2468,ES-Ast,-6.5,43.17,645.9376114,0.467441,N
ES-Ast,-6.5,43.17,EN-Kent,0.4527,51.2468,645.9376114,0.467441,N
FR-Ver,5.5301,43.5986,PL-Ostr,19.958726,53.741945,958.2163949,0.465832,NS
PL-Ostr,19.958726,53.741945,FR-Ver,5.5301,43.5986,958.2163949,0.465832,NS
FR-Ver,5.5301,43.5986,RU-Vor,39.2089,51.6755,1647.254835,0.455145,N
RU-Vor,39.2089,51.6755,FR-Ver,5.5301,43.5986,1647.254835,0.455145,N
