Pop,Country,Longitude,Latitude,Number of individuals,Polymorphic Sites,Polymorphic Loci,# Pop ID,Num Indv,Obs Het,Obs Hom,Exp Het,Exp Hom,Pi,Fis
AT,Austria,9.7859,47.216,3,12797,58.7935,AT,2.9404,0.2602,0.7398,0.2195,0.7805,0.2656,0.0097
DE-Bad,Germany,11.9383,52.9546,1,4995,23.5992,DE-Bad,1,0.236,0.764,0.118,0.882,0.236,0
DE-Ben,Germany,12.1656,52.9098,3,12336,56.7172,DE-Ben,2.9282,0.2729,0.7271,0.2131,0.7869,0.2579,-0.0263
DE-Biel,Germany,8.5167,52.0167,2,9552,44.2796,DE-Biel,1.9348,0.255,0.745,0.1832,0.8168,0.2493,-0.0085
DE-Brem,Germany,8.5809,53.5396,3,12781,58.8011,DE-Brem,2.8905,0.2691,0.7309,0.2193,0.7807,0.2667,-0.0041
DE-Eber,Germany,13.8331,52.8331,3,12715,58.441,DE-Eber,2.8868,0.275,0.725,0.2186,0.7814,0.2661,-0.0158
DE-Gota,Germany,10.7183,50.9489,4,12583,57.8103,DE-Gota,3.8737,0.2654,0.7346,0.2097,0.7903,0.2418,-0.0426
DE-Gotn,Germany,9.9356,51.5339,2,9869,45.5464,DE-Gotn,1.8979,0.2629,0.7371,0.1886,0.8114,0.2607,-0.0032
DE-Hors,Germany,9.6201,53.8072,4,13621,62.5448,DE-Hors,3.9174,0.2462,0.7538,0.22,0.78,0.2527,0.0131
DE-Leis,Germany,12.9285,51.1577,3,13059,60.0303,DE-Leis,2.8841,0.2793,0.7207,0.2245,0.7755,0.2731,-0.0108
DE-Luck,Germany,12.3327,51.0947,3,12707,58.4579,DE-Luck,2.8587,0.2804,0.7196,0.2199,0.7801,0.2692,-0.0202
DE-Rech,Germany,13.7373,51.0504,3,13395,61.5749,DE-Rech,2.8866,0.2858,0.7142,0.2298,0.7702,0.2793,-0.0112
DK,Denmark,9.5018,56.2639,5,10345,47.5326,DK,4.6849,0.1973,0.8027,0.1731,0.8269,0.1946,-0.0076
EN-Kent,England,0.4527,51.2468,2,4905,23.5444,EN-Kent,1.8278,0.1888,0.8112,0.1065,0.8935,0.1577,-0.0467
EN-Shro,England,-2.9984,52.49,2,6557,30.5318,EN-Shro,1.8855,0.2125,0.7875,0.1315,0.8685,0.1891,-0.0352
EN-Suff,England,0.5151,52.3476,3,7566,34.8439,EN-Suff,2.8729,0.1908,0.8092,0.1373,0.8627,0.1686,-0.0389
ES-Ast,Spain,-6.5,43.17,2,306,2.4136,ES-Ast,1.8181,0.0231,0.9769,0.0118,0.9882,0.0183,-0.0072
ES-Cat,Spain,2.3912,41.7856,4,4979,23.3822,ES-Cat,3.8511,0.1064,0.8936,0.0832,0.9168,0.0964,-0.0188
FR-Clermont,France,3.0321,46.0811,5,13527,62.1417,FR-Clermont,4.6688,0.2385,0.7615,0.2074,0.7926,0.2338,-0.0093
FR-Ser,France,2.3373,45.3602,1,4841,23.5068,FR-Ser,1,0.2351,0.7649,0.1175,0.8825,0.2351,0
FR-Ver,France,5.5301,43.5986,2,502,3.6833,FR-Ver,1.7429,0.0178,0.9822,0.0159,0.9841,0.0229,0.0076
GR-Mac,Greece,22.4511,40.9469,2,5533,27.6775,GR-Mac,1,0.2768,0.7232,0.1384,0.8616,0.2768,0
GR-Vern,Greece,20.7643,39.5706,3,6120,29.1013,GR-Vern,1,0.291,0.709,0.1455,0.8545,0.291,0
IT-Abru,Italy,13.9275,42.4576,4,3267,15.4731,IT-Abru,2.8467,0.0748,0.9252,0.0575,0.9425,0.0709,-0.0069
IT-Cal,Italy,15.65,38.1144,5,2607,12.3701,IT-Cal,3.8304,0.0531,0.9469,0.0444,0.9556,0.0519,-0.0023
LT-Birz,Lithuania,24.6141,55.9825,5,15642,71.8479,LT-Birz,4.8058,0.2838,0.7162,0.244,0.756,0.2732,-0.0224
LT-Juod,Lithuania,21.1087,55.5198,5,13774,63.2676,LT-Juod,4.7876,0.2608,0.7392,0.2194,0.7806,0.2457,-0.0276
LT-Luk,Lithuania,26.2019,55.8502,5,14806,68.0079,LT-Luk,4.8302,0.2925,0.7075,0.239,0.761,0.2673,-0.0522
LT-Nem,Lithuania,23.9971,54.5886,5,15932,73.153,LT-Nem,4.8106,0.2851,0.7149,0.247,0.753,0.2762,-0.0184
LT-Petk,Lithuania,21.1087,55.5198,3,15344,70.4856,LT-Petk,4.6891,0.2999,0.7001,0.245,0.755,0.2752,-0.0492
MK-Pel,Macedonia,21.1844,41.0033,17,13763,63.2753,MK-Pel,2.9137,0.2981,0.7019,0.2384,0.7616,0.2892,-0.0159
PL-Bial,Poland,23.8346,52.7232,4,11387,77.9398,PL-Bial,13.1819,0.2188,0.7812,0.2243,0.7757,0.2349,0.04
PL-Bies,Poland,22.5089,49.3556,1,15843,72.7611,PL-Bies,3.899,0.3041,0.6959,0.2541,0.7459,0.2924,-0.0228
PL-Bob,Poland,16.567544,53.923758,15,2443,23.8948,PL-Bob,1,0.2389,0.7611,0.1195,0.8805,0.2389,0
PL-Bory,Poland,17.563,53.8112,9,11400,75.9291,PL-Bory,11.7338,0.2132,0.7868,0.2213,0.7787,0.2337,0.05
PL-Dzie,Poland,14.99795,52.731386,4,4474,25.4581,PL-Dzie,1,0.2546,0.7454,0.1273,0.8727,0.2546,0
PL-Hack,Poland,23.1793,52.8344,1,8562,61.891,PL-Hack,7.3379,0.2349,0.7651,0.2019,0.7981,0.2186,-0.0333
PL-JDru,Poland,19.415628,54.127153,1,14562,66.924,PL-JDru,3.8186,0.2919,0.7081,0.2385,0.7615,0.2756,-0.0312
PL-Olk,Poland,19.576457,50.216353,1,4897,30.6369,PL-Olk,1,0.3064,0.6936,0.1532,0.8468,0.3064,0
PL-Ostr,Poland,19.958726,53.741945,1,5925,29.3448,PL-Ostr,1,0.2934,0.7066,0.1467,0.8533,0.2934,0
PL-Ryj,Poland,18.945785,53.853784,1,6191,28.8827,PL-Ryj,1,0.2888,0.7112,0.1444,0.8556,0.2888,0
PL-Sier,Poland,17.474509,54.09711,6,2030,19.2673,PL-Sier,1,0.1927,0.8073,0.0963,0.9037,0.1927,0
PL-Swie,Poland,20.926346,50.895887,1,2333,18.1698,PL-Swie,1,0.1817,0.8183,0.0908,0.9092,0.1817,0
PL-Wielk,Poland,17.09,52.2468,2,16396,75.2939,PL-Wielk,5.8548,0.2806,0.7194,0.2474,0.7526,0.271,-0.02
RO-Mar,Romania,22.9043,45.3707,9,6292,30.0937,RO-Mar,1,0.3009,0.6991,0.1505,0.8495,0.3009,0
RO-Rete,Romania,22.9043,45.3707,2,11579,53.4382,RO-Rete,1.9549,0.3079,0.6921,0.2215,0.7785,0.3005,-0.0111
RS,Serbia,20.4076,44.7317,2,19172,88.0217,RS,8.7549,0.2965,0.7035,0.272,0.728,0.2887,-0.0173
RU-Berez,Rusia,30.6179,52.6934,1,10668,49.1862,RU-Berez,1.9642,0.2749,0.7251,0.2036,0.7964,0.2752,0.0004
RU-Spet,Rusia,30.3351,59.9343,1,8419,43.0507,RU-Spet,1.6374,0.3653,0.6347,0.199,0.801,0.3158,-0.0743
