Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,2,15.98,141.75,64628,18.85,17.73,334,,,
m,2,20.60,103.73,44269,26.40,24.98,335,,,
m,2,13.97,80.06,28267,16.40,14.96,201,,,
m,2,17.28,31.76,5074,21.86,20.11,182,,,
m,2,17.84,122.90,55647,21.86,20.16,325,,,
m,2,19.97,143.08,63834,25.14,23.37,421,,,
m,2,15.22,135.66,63747,19.23,18.20,292,,,
m,2,19.49,204.96,92191,23.50,21.68,380,,,
m,2,24.01,180.52,88262,30.27,29.35,497,,,
m,2,21.88,196.39,97230,27.37,28.83,496,,,
m,2,16.16,150.40,74674,20.04,21.37,388,,,
m,2,20.53,174.19,80784,25.37,24.91,460,,,
m,2,18.33,178.77,90590,22.74,24.31,421,,,
m,2,13.52,57.60,23153,17.07,17.29,291,,,
m,2,8.80,46.21,22295,11.63,13.06,128,,,
m,2,8.42,42.45,21303,11.10,12.89,164,,,
m,2,8.15,45.15,21470,10.68,11.65,169,,,
m,2,12.82,120.10,66500,16.46,18.31,263,,,
m,2,22.52,98.12,38087,28.78,26.26,418,,,
m,2,27.05,167.86,71752,34.81,28.37,496,,,
m,2,13.98,112.87,46283,15.14,14.72,277,,,
m,2,10.00,149.28,56867,9.54,10.71,280,,,
m,2,19.69,96.87,37262,23.25,22.26,390,,,
m,2,10.31,68.16,36390,13.78,15.86,229,,,
m,2,17.65,88.42,37933,23.01,22.92,283,,,
m,2,15.43,98.71,41384,18.60,17.66,336,,,
m,2,12.35,82.63,39577,15.45,16.40,210,,,
m,2,15.98,111.81,54814,20.61,21.55,341,,,
m,2,15.85,112.96,52017,20.21,20.57,433,,,
m,2,15.09,107.74,49541,18.85,18.51,299,,,
m,2,11.68,91.41,46332,14.60,15.80,268,,,
m,2,14.21,92.74,44055,18.20,18.65,371,,,
m,2,14.40,78.18,32542,17.99,17.71,193,,,
m,2,12.45,82.42,41484,15.42,16.84,331,,,
m,2,11.91,84.08,40458,14.75,15.52,249,,,
m,2,10.62,80.70,39533,12.50,12.85,323,,,
m,2,28.46,390.89,436626,18.56,64.39,1313,,,
m,2,19.45,106.69,41473,23.15,20.42,348,,,
m,2,18.45,114.09,46000,21.67,19.87,380,,,
m,2,11.86,73.18,40835,14.91,15.89,273,,,
m,2,14.44,74.46,29661,17.59,16.89,245,,,
m,2,18.89,105.72,44128,24.06,23.39,306,,,
m,2,18.72,105.77,42766,23.21,21.08,297,,,
m,2,32.01,359.86,378806,27.99,65.52,1084,,,
m,2,16.37,95.51,41339,20.88,20.89,263,,,
m,2,17.88,126.83,60889,23.93,24.66,382,,,
m,2,13.75,70.98,28906,17.21,16.88,222,,,
m,2,14.22,75.56,31144,17.56,15.98,302,,,
m,2,8.52,58.09,27528,11.08,10.92,148,,,
m,2,10.11,53.02,22287,12.69,11.99,187,,,
m,2,9.80,66.54,34643,12.97,13.92,220,,,
m,2,9.60,62.01,32485,12.72,13.94,183,,,
m,2,8.57,54.93,28849,11.27,12.53,172,,,
m,2,11.77,74.66,36575,15.36,16.25,198,,,
m,2,8.43,56.99,34296,11.11,13.58,202,,,
m,2,7.70,42.95,24911,9.78,12.41,151,,,
m,2,7.69,65.88,41809,10.00,12.21,200,,,
m,2,9.69,63.73,36414,12.70,15.59,184,,,
m,2,8.57,50.51,28012,11.34,13.43,178,,,
m,2,8.22,48.43,26977,10.89,12.87,155,,,
m,2,12.80,117.49,79228,16.98,21.26,306,,,
m,2,10.74,51.53,24068,14.24,15.67,173,,,
m,2,11.07,64.92,30640,14.45,14.95,239,,,
m,2,24.58,158.16,73853,31.24,27.88,450,,,
m,2,11.60,86.16,56037,15.00,18.95,198,,,
m,2,20.82,148.30,67168,26.43,25.11,464,,,
m,2,21.19,153.06,71492,27.06,26.53,398,,,
m,2,22.02,149.89,68143,27.78,26.20,545,,,
m,2,18.98,132.93,62762,24.15,23.84,429,,,
m,2,13.11,66.27,26471,15.78,14.75,225,,,
m,2,20.94,119.39,51517,27.19,25.08,381,,,
m,2,17.68,201.70,96918,21.32,20.86,580,,,
m,2,21.60,165.89,78867,27.56,25.70,427,,,
m,2,21.97,135.57,59753,28.72,25.61,330,,,
m,2,21.71,196.95,95726,27.56,26.76,613,,,
m,2,9.81,53.87,26828,12.64,14.24,156,,,
m,2,10.51,57.86,28852,13.95,15.87,201,,,
m,2,10.23,61.45,33740,13.69,16.37,221,,,
m,2,8.52,46.37,22906,11.35,12.49,150,,,
m,2,15.05,71.45,29989,19.14,18.77,269,,,
m,2,10.39,59.42,30478,13.51,15.57,223,,,
m,2,10.60,61.19,31807,14.03,16.13,205,,,
