Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
SE-Halm,56.6732080,12.8572190,Sl-Sko,45.5710000,13.7924000,749.3177384,0.413895,
Sl-Sko,45.5710000,13.7924000,SE-Halm,56.6732080,12.8572190,749.3177384,0.413895,
SE-Nass,57.6520910,14.6974190,Sl-Sko,45.5710000,13.7924000,811.542779,0.412495,
Sl-Sko,45.5710000,13.7924000,SE-Nass,57.6520910,14.6974190,811.542779,0.412495,
PL-Bory,53.7994342,17.5422478,SE-Halm,56.6732080,12.8572190,376.2110647,0.374094,
SE-Halm,56.6732080,12.8572190,PL-Bory,53.7994342,17.5422478,376.2110647,0.374094,
PL-Bory,53.7994342,17.5422478,SE-Nass,57.6520910,14.6974190,322.5792639,0.371702,
SE-Nass,57.6520910,14.6974190,PL-Bory,53.7994342,17.5422478,322.5792639,0.371702,
IT-Cal,38.1144388,15.6500000,SE-Halm,56.6732080,12.8572190,1257.497737,0.366495,
SE-Halm,56.6732080,12.8572190,IT-Cal,38.1144388,15.6500000,1257.497737,0.366495,
IT-Cal,38.1144388,15.6500000,SE-Nass,57.6520910,14.6974190,1304.343882,0.366262,
SE-Nass,57.6520910,14.6974190,IT-Cal,38.1144388,15.6500000,1304.343882,0.366262,
IE-Down,54.3277000,-5.7158000,SE-Halm,56.6732080,12.8572190,1293.611379,0.364671,
SE-Halm,56.6732080,12.8572190,IE-Down,54.3277000,-5.7158000,1293.611379,0.364671,
IE-Down,54.3277000,-5.7158000,SE-Nass,57.6520910,14.6974190,1428.992173,0.359927,
SE-Nass,57.6520910,14.6974190,IE-Down,54.3277000,-5.7158000,1428.992173,0.359927,
IS-Horn,64.3858000,-15.2892000,SE-Halm,56.6732080,12.8572190,2015.393515,0.358802,
SE-Halm,56.6732080,12.8572190,IS-Horn,64.3858000,-15.2892000,2015.393515,0.358802,
SE-Halm,56.6732080,12.8572190,SE-Nass,57.6520910,14.6974190,143.140703,0.355002,
SE-Nass,57.6520910,14.6974190,SE-Halm,56.6732080,12.8572190,143.140703,0.355002,
IS-Horn,64.3858000,-15.2892000,SE-Nass,57.6520910,14.6974190,2122.753808,0.35071,
SE-Nass,57.6520910,14.6974190,IS-Horn,64.3858000,-15.2892000,2122.753808,0.35071,
IE-Down,54.3277000,-5.7158000,Sl-Sko,45.5710000,13.7924000,1475.937119,0.337494,
Sl-Sko,45.5710000,13.7924000,IE-Down,54.3277000,-5.7158000,1475.937119,0.337494,
PL-Bory,53.7994342,17.5422478,Sl-Sko,45.5710000,13.7924000,605.6139619,0.335619,
Sl-Sko,45.5710000,13.7924000,PL-Bory,53.7994342,17.5422478,605.6139619,0.335619,
IS-Horn,64.3858000,-15.2892000,PL-Bory,53.7994342,17.5422478,2380.815566,0.329557,
PL-Bory,53.7994342,17.5422478,IS-Horn,64.3858000,-15.2892000,2380.815566,0.329557,
FR-Port,43.0036000,6.3944000,SE-Nass,57.6520910,14.6974190,1147.883421,0.322723,
SE-Nass,57.6520910,14.6974190,FR-Port,43.0036000,6.3944000,1147.883421,0.322723,
IS-Horn,64.3858000,-15.2892000,Sl-Sko,45.5710000,13.7924000,2386.007676,0.321292,
